Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
9849484754,"Sep 14, 2023, 5:36:14 PM",Evening Run,Run,,1906,5.98,,,false,,,activities/9849484754.gpx,,,1906.0,1875.0,5986.0,5.883,3.193,6.3,6.2,277.4,284.7,26.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6041.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.141,5986.0,,,,5134.0,,,,,,,,,,,,,,,""
9926238542,"Sep 26, 2023, 6:39:05 PM",Evening Weight Training,Weight Training,,2029,0,,,false,,,activities/10638261642.fit.gz,,,2029.0,2029.0,0.0,0.0,0.0,0.0,0.0,8.6,8.6,0.0,0.0,,,,,,,,,337.0,,31.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
9932672708,"Sep 27, 2023, 6:10:10 PM",Evening Weight Training,Weight Training,,2372,0,,,false,,,activities/10645013645.fit.gz,,,2372.0,2372.0,0.0,0.0,0.0,0.0,0.0,-8.4,-8.4,0.0,0.0,,,,,,,,,394.0,,30.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
9953340873,"Sep 30, 2023, 5:48:27 AM",Besiberri sud - 3.023,Hike,"",40124,14.58,,,false,,,activities/10666585411.fit.gz,,,40124.0,3218.0,14587.0,17.119,4.533,1478.7,1388.0,1512.9,2962.8,49.7,0.1,,,103.0,55.0,,,,,3283.0,,24.0,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.364,14231.2,,,,,,,,,,,,,,,,,,,""
9955746947,"Oct 1, 2023, 9:41:39 AM",Lunch Hike,Hike,,11349,5.74,,,false,,,activities/10669099798.fit.gz,,,11349.0,6477.0,5745.0,6.373,0.887,264.0,228.0,1613.4,1851.0,49.9,0.0,,,84.0,52.0,,,,,1556.0,,33.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.506,5139.0,,,,,,,,,,,,,,,,,,,""
9964162971,"Oct 2, 2023, 6:29:24 PM",Evening Ride,Ride,,2737,0,,,false,,,activities/10678026711.fit.gz,,,2737.0,2737.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,,,,,,,,,881.0,,31.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
9969351312,"Oct 3, 2023, 3:02:48 PM",Afternoon Swim,Swim,,2741,"1,225",,,false,,,activities/10683455733.fit.gz,,,2741.0,2203.0,1225.0,2.274,0.556,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,708.0,,28.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.447,0.0,,,,,,,,,,,,,,,,,,,""
9975283586,"Oct 4, 2023, 12:47:17 PM",Afternoon Weight Training,Weight Training,,4624,0,,,false,,,activities/10689634385.fit.gz,,,4624.0,4624.0,0.0,0.0,0.0,0.0,0.0,124.2,124.2,0.0,0.0,,,,,,,,,713.0,,30.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
9977101376,"Oct 4, 2023, 6:05:22 PM",Evening Run,Run,,1624,5.00,,,false,,,activities/10691521203.fit.gz,,,1624.0,1620.0,5002.0,5.333,3.088,0.0,0.0,272.6,277.4,4.0,-0.1,,,88.0,84.0,,,,,413.0,,25.0,,,,,,,,,,,,,,0.0,,1.0,5008.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.08,4800.0,,,,4454.0,,,,,,,,,,,,,,,""
9981996621,"Oct 5, 2023, 2:51:56 PM",Afternoon Swim,Swim,,1148,750,,,false,,,activities/10696628201.fit.gz,,,1148.0,1111.0,750.0,1.668,0.675,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,517.0,,29.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.653,0.0,,,,,,,,,,,,,,,,,,,""
9999094711,"Oct 8, 2023, 9:49:03 AM",Lunch Run,Run,,2208,6.49,,,false,,,activities/10714459504.fit.gz,,,2208.0,2208.0,6496.0,7.6,2.942,0.0,0.0,282.0,288.4,7.3,0.0,,,87.0,85.0,,,,,808.0,,32.0,,,,,,,,,,,,,,0.0,,1.0,6521.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.942,6496.0,,,,,,,,,,,,,,,,,,,""
10006171239,"Oct 9, 2023, 12:40:50 PM",Afternoon Weight Training,Weight Training,,3641,0,,,false,,,activities/10721883115.fit.gz,,,3641.0,3641.0,0.0,0.0,0.0,0.0,0.0,78.8,78.8,0.0,0.0,,,,,,,,,546.0,,31.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10008365851,"Oct 9, 2023, 6:28:42 PM",Evening Ride,Ride,,3021,0,,,false,,,activities/10724154511.fit.gz,,,3021.0,3021.0,0.0,0.0,0.0,0.0,0.0,82.6,82.6,0.0,0.0,,,,,,,,,807.0,,30.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10012912936,"Oct 10, 2023, 2:18:47 PM",Afternoon Swim,Swim,,2393,"1,025",,,false,,,activities/10728877156.fit.gz,,,2393.0,1784.0,1025.0,2.274,0.575,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,650.0,,29.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.428,0.0,,,,,,,,,,,,,,,,,,,""
10019762700,"Oct 11, 2023, 2:12:44 PM",Afternoon Weight Training,Weight Training,,4235,0,,,false,,,activities/10735959235.fit.gz,,,4235.0,4235.0,0.0,0.0,0.0,0.0,0.0,88.2,88.2,0.0,0.0,,,,,,,,,619.0,,30.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10019773772,"Oct 11, 2023, 3:27:30 PM",Afternoon Swim,Swim,,1362,750,,,false,,,activities/10735970732.fit.gz,,,1362.0,1361.0,750.0,3.126,0.551,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,595.0,,29.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.551,0.0,,,,,,,,,,,,,,,,,,,""
10023194449,"Oct 12, 2023, 5:26:09 AM",Morning Run,Run,,2155,6.01,,,false,,,activities/10739505241.fit.gz,,,2155.0,2144.0,6014.0,6.0,2.805,48.0,65.0,11.0,54.2,15.0,-0.2,,,89.0,84.0,,,,,654.0,,25.0,,,,,,,,,,,,,,0.0,,1.0,6070.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.791,567.0,,,,,,,,,,,,,,,,,,,""
10045491903,"Oct 15, 2023, 5:58:35 PM",Evening Run,Run,,2388,7.17,,,false,,,activities/10762727272.fit.gz,,,2388.0,2360.0,7173.0,7.6,3.039,46.0,41.0,59.6,109.2,10.0,0.1,,,95.0,84.0,,,,,785.0,,27.0,,,,,,,,,,,,,,0.0,,1.0,7248.1,1697389184.0,3.0,19.7,19.9,15.3,0.76,1016.0,3.0,5.5,155.0,0.0,1697349760.0,1697389824.0,0.0,,,0.63,5.0,0.95,26804.0,0.0,,,,,0.0,3.004,1177.0,,,,,,,,,,,,,,,,,,,""
10049296796,"Oct 16, 2023, 1:37:00 PM",Afternoon Weight Training,Weight Training,,4170,0,,,false,,,activities/10766714864.fit.gz,,,4170.0,4170.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,,,,,,,,,572.0,,30.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10050993581,"Oct 16, 2023, 6:28:29 PM",Evening Ride,Ride,,3086,0,,,false,,,activities/10768464756.fit.gz,,,3086.0,3086.0,0.0,0.0,0.0,0.0,0.0,66.2,66.2,0.0,0.0,,,,,,,,,824.0,,32.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10055432024,"Oct 17, 2023, 2:17:54 PM",Afternoon Swim,Swim,,2762,"1,423",,,false,,,activities/10773086770.fit.gz,,,2762.0,2081.0,1422.9,2.274,0.684,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,500.0,,29.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.515,0.0,,,,,,,,,,,,,,,,,,,""
