Date,Name,Activity_Type,Activity_ID,Distance_km,Moving_Time_min,Elapsed_Time_min,Average_HR,Max_HR,Average_Pace,Average_Speed_kmh,Max_Speed_kmh,Elevation_Gain,Elevation_Loss,Calories,Average_Cadence,Max_Cadence,Average_Watts,Max_Watts,Relative_Effort,Suffer_Score,Weather_Temperature,Weather_Humidity,Wind_Speed
2023-09-14,Evening Run,Run,9849484754,5.99,31.2,31.8,,,5:13,11.49,21.18,6.3,,,,,,,,,,,
2023-09-26,Evening Weight Training,WeightTraining,9926238542,,33.8,33.8,,,,,,0,,,,,,,,,,,
2023-09-27,Evening Weight Training,WeightTraining,9932672708,,39.5,39.5,,,,,,0,,,,,,,,,,,
2023-09-30,Besiberri sud - 3.023,Hike,9953340873,14.59,53.6,668.7,,,3:41,16.32,61.63,1478.7,,,54.8,,,,,,,,
2023-10-01,Lunch Hike,Hike,9955746947,5.75,108.0,189.2,,,18:47,3.19,22.94,264.0,,,51.8,,,,,,,,
2023-10-02,Evening Ride,Ride,9964162971,,45.6,45.6,,,,,,0,,,,,,,,,,,
2023-10-03,Afternoon Swim,Swim,9969351312,1.23,36.7,45.7,,,29:58,2.0,8.19,0,,,,,,,,,,,
2023-10-04,Afternoon Weight Training,WeightTraining,9975283586,,77.1,77.1,,,,,,0,,,,,,,,,,,
2023-10-04,Evening Run,Run,9977101376,5.0,27.0,27.1,,,5:24,11.12,19.2,0.0,,,84.1,,,,,,,,
2023-10-05,Afternoon Swim,Swim,9981996621,0.75,18.5,19.1,,,24:41,2.43,6.0,0,,,,,,,,,,,
2023-10-08,Lunch Run,Run,9999094711,6.5,36.8,36.8,,,5:40,10.59,27.36,0.0,,,85.1,,,,,,,,
2023-10-09,Afternoon Weight Training,WeightTraining,10006171239,,60.7,60.7,,,,,,0,,,,,,,,,,,
2023-10-09,Evening Ride,Ride,10008365851,,50.4,50.4,,,,,,0,,,,,,,,,,,
2023-10-10,Afternoon Swim,Swim,10012912936,1.02,29.7,39.9,,,29:00,2.07,8.19,0,,,,,,,,,,,
2023-10-11,Afternoon Weight Training,WeightTraining,10019762700,,70.6,70.6,,,,,,0,,,,,,,,,,,
2023-10-11,Afternoon Swim,Swim,10019773772,0.75,22.7,22.7,,,30:15,1.98,11.25,0,,,,,,,,,,,
2023-10-12,Morning Run,Run,10023194449,6.01,35.7,35.9,,,5:57,10.1,21.6,48.0,,,84.0,,,,,,,,
2023-10-15,Evening Run,Run,10045491903,7.17,39.3,39.8,,,5:29,10.94,27.36,46.0,,,84.2,,,,,,,,
2023-10-16,Afternoon Weight Training,WeightTraining,10049296796,,69.5,69.5,,,,,,0,,,,,,,,,,,
2023-10-16,Evening Ride,Ride,10050993581,,51.4,51.4,,,,,,0,,,,,,,,,,,
2023-10-17,Afternoon Swim,Swim,10055432024,1.42,34.7,46.0,,,24:23,2.46,8.19,0,,,,,,,,,,,
2023-10-18,Afternoon Weight Training,WeightTraining,10061492033,,60.2,60.2,,,,,,0,,,,,,,,,,,
2023-10-18,Evening Run,Run,10063168246,7.73,42.6,44.0,,,5:31,10.88,30.06,46.0,,,84.3,,,,,,,,
2023-10-19,Afternoon Swim,Swim,10067298344,0.75,27.9,30.9,,,37:08,1.62,6.43,0,,,52.0,,,,,,,,
2023-10-20,Morning Run,Run,10070834924,8.1,45.5,46.6,,,5:37,10.68,41.76,54.0,,,84.7,,,,,,,,
